,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,Target,Sub_Target
0,7.9,0.13,0.54,375.3,19.52,267.31,9.65,0.68,7.18,0.28,2.36,0,1
1,7.3,0.15,0.5,347.5,17.26,223.6,6.75,0.66,7.36,0.26,2.56,0,0
2,7.1,0.16,0.52,361.4,19.52,223.1,10.23,0.72,8.56,0.32,2.64,0,0
3,7.5,0.16,0.56,389.2,12.76,301.3,11.2,0.7,8.6,0.26,2.82,0,1
4,6.8,0.75,0.72,367.4,8.4,275.05,0.9,3.6,3.14,1.01,5.43,0,1
5,7.3,0.82,0.7,487,18.01,80.82,12.4,0.84,7.54,0.34,1.3,0,0
6,6.9,0.79,0.6,417,11.26,69.59,9.91,0.74,6.12,0.48,1.28,0,0
7,6.5,0.82,0.54,375,9.76,187.2,10.7,0.68,6.3,0.4,1.24,0,0
8,6.7,0.74,0.56,384,9,103.1,8.62,0.66,6.32,0.38,1.36,0,0
9,6.7,0.73,0.66,459,10.81,72.96,150,90.7,7.52,0.32,1.4,0,0
10,6.9,0.76,0.68,473,18.01,187.2,163,0.8,7.36,0.54,1.34,0,0
11,5.6,0.77,0.72,500.4,17.26,69.59,267,0.74,7.34,0.24,1.12,0,0
12,6.7,0.74,0.74,514,9.76,87.25,13.7,0.78,6.64,0.22,1.08,0,0
13,6.9,0.76,0.64,445,7.5,101.5,9.91,0.64,6.52,0.16,1.44,0,0
14,7,0.78,0.75,521,10.51,107.2,10.3,0.86,6.46,0.28,1.44,0,0
15,6.9,0.76,0.62,431,9.76,872.3,9.01,0.62,5.26,0.24,1.38,0,1
16,6.9,0.54,0.64,444.8,27.68,176.4,6.81,0.7,7.5,0.28,2.82,0,0
17,6.9,0.53,0.51,354.8,26.52,289.3,5.77,0.7,6.88,0.3,2.84,0,1
18,7,0.57,0.69,479.55,20.18,297.3,5.17,0.7,7.46,0.32,2.28,0,1
19,7.1,0.56,0.66,458.7,19.4,263.7,7.32,0.72,7.58,0.3,2.3,0,1
20,6.9,0.63,0.52,361.4,16.54,300.3,9.05,0.7,7.6,0.28,2.32,0,1
21,6.9,0.61,0.55,382.75,20.32,287.5,15.08,0.7,7.62,0.3,2.34,0,1
22,7,0.52,0.51,354.45,25.76,437.3,17.24,0.72,7.64,0.32,2.66,0,1
23,7,0.53,0.55,382.25,22.78,363.5,16.37,0.68,7.66,0.3,2.68,0,1
24,7,0.64,0.5,347.6,23.76,306.7,7.32,0.68,6.42,0.32,3.44,0,1
25,7,0.57,0.51,354.45,29.78,403.7,4.48,0.68,7.34,0.34,3.28,0,1
26,6.9,0.56,0.5,347.5,13.76,306.3,12.75,0.7,7.48,0.36,2.8,0,1
27,7,0.53,0.51,354.45,18.52,306.3,11.2,0.7,7.3,0.3,2.66,0,1
28,6.8,0.43,0.72,500.4,19.62,197.3,15.08,0.72,6.72,0.32,2.24,0,0
29,7,0.43,0.7,486.5,19.44,299.6,16.37,0.68,6.8,0.32,2.3,0,1
30,7,0.62,0.52,361.4,16.66,177.2,12.48,0.72,7.56,0.32,2.5,0,0
31,6.9,0.53,0.52,361.4,13.3,169.5,15.6,0.68,8.3,0.34,2.66,0,0
32,6.9,0.53,0.54,375.3,14.42,200.3,13.79,0.68,8.86,0.28,2.64,0,0
33,7,0.53,0.54,375.3,14.4,169.2,18.1,0.68,7.68,0.34,2.38,0,0
34,6.9,0.53,0.56,389.2,16.68,283.4,12.05,0.64,7.1,0.34,2.54,0,1
35,7,0.75,0.56,389,12.01,127.1,10.3,0.66,8.24,0.52,1.26,0,0
36,6.8,0.79,0.63,438,7.5,153.2,11.6,0.84,6.62,0.46,1.2,0,0
37,7,0.82,0.75,521,9.76,318.79,15,0.74,6.82,0.32,1.22,0,1
38,6.9,0.84,0.66,459,11.26,279.23,11.2,0.76,6.38,0.28,1.24,0,1
39,6.6,0.86,0.7,487,8.25,230.11,12.4,0.8,6.46,0.26,1.28,0,0
40,6,0.86,0.74,514,14.26,179.23,16.3,0.86,6.54,0.48,1.26,0,0
41,6.3,0.86,0.72,500.4,10.01,165,19.8,0.64,7.58,0.46,1.36,0,0
42,6.1,0.84,0.76,528,9.76,183.69,25.4,0.68,5.32,0.34,1.3,0,0
43,6,0.86,0.8,556,21,136.94,27.1,0.66,7.4,0.38,1.32,0,0
44,6.3,0.87,0.68,473,11.26,275.27,12.4,0.76,6.42,0.32,1.32,0,1
45,6,0.87,0.8,556,11.26,261.54,14,0.68,5.24,0.42,1.42,0,1
46,5.9,0.87,0.7,487,9.76,287.23,15.5,0.72,7.14,0.46,1.26,0,1
47,6.7,0.85,0.66,459,9,260.42,16.3,0.66,6.06,0.34,1.38,0,1
48,6.4,0.85,0.68,473,8.25,197.63,11.6,0.64,6.84,0.48,1.4,0,0
49,6.5,0.86,0.72,500.4,12.76,408.59,10.3,0.6,7.36,0.36,1.36,0,1
50,7.1,0.87,0.75,521,12.01,281.23,17.6,0.76,6.78,0.52,1.22,0,1
51,5.9,0.86,0.76,528,17.26,17.96,20.6,0.82,6.36,0.5,1.2,0,0
52,7.7,0.85,0.64,445,11.26,169.27,24.9,0.74,6.42,0.32,1.18,0,0
53,6.9,0.84,0.66,459,13.51,573.59,17.6,0.66,8.92,0.36,1.4,0,1
54,7.7,0.86,0.74,514,15.76,159.42,20.6,0.68,7.48,0.54,1.32,0,0
55,6.8,0.84,0.7,487,11.26,152.99,16.3,0.78,7.52,0.4,1.28,0,0
56,6.9,0.67,0.52,361.4,16.62,169.2,12.54,0.72,7.7,0.34,2.84,0,0
57,6.9,0.67,0.52,361.4,16.62,169.2,12.54,0.72,7.7,0.34,2.84,0,0
58,6.9,0.67,0.5,347.5,14.54,287.5,8.46,0.7,9.72,0.32,2.88,0,1
59,6.9,0.67,0.5,347.5,14.54,287.5,8.46,0.7,9.72,0.32,2.88,0,1
60,6.8,0.67,0.54,375.3,26.68,167.3,10.7,0.7,8.82,0.34,2.9,0,0
61,6.8,0.67,0.54,375.3,26.68,167.3,10.7,0.7,8.82,0.34,2.9,0,0
62,6.8,0.67,0.52,361.4,10.1,186.48,9.5,0.7,6.36,0.74,2.78,0,0
63,6.9,0.79,0.56,389,10.51,74.08,30.6,0.48,6.42,0.46,1.18,0,0
64,7,0.76,0.6,417,11.26,101,42.6,0.62,6.36,0.32,1.12,0,0
65,6.8,0.74,0.7,487,18.01,78.57,31.03,0.84,6.7,0.38,0.96,0,0
66,6.7,0.8,0.66,459,9.76,107.2,16.8,0.76,5.86,0.24,1.22,0,0
67,6.9,0.8,0.75,521,9,100.3,24.1,0.86,7.74,0.42,1.26,0,0
68,6.6,0.71,0.72,500,6,165.2,26.7,0.56,7.8,0.42,1.36,0,0
69,6.6,0.71,0.72,500.4,6,165.2,26.7,0.56,7.86,0.36,1.34,0,0
70,7.1,0.69,0.68,473,16.51,141.4,28,0.66,6.62,0.28,1.28,0,0
71,6.7,0.7,0.64,445,11.26,121.4,17.2,0.68,6.68,0.46,0.84,0,0
72,6.6,0.72,0.58,403,9.76,167,19.8,0.72,6.86,0.3,1.38,0,0
73,6.5,0.78,0.74,514,15.01,142.5,16.8,0.74,8.9,0.26,1.34,0,0
74,6.7,0.69,0.52,361,10.51,109.1,12.9,0.64,8.82,0.22,1.28,0,0
75,6.9,0.79,0.6,417,9.26,90.9,10.7,0.6,9.7,0.24,1.2,0,0
76,6.9,0.79,0.68,473,9,60.61,11.2,0.78,7.3,0.32,1.32,0,0
77,6.7,0.77,0.72,500.1,20.27,176.2,16.3,0.82,6.6,0.48,0.86,0,0
78,6.7,0.77,0.64,445,9.26,17.96,18.5,0.76,6.46,0.4,1.24,0,0
79,6.8,0.76,0.75,521,11.26,136.9,14.2,0.84,6.54,0.42,1.38,0,0
80,6.9,0.79,0.54,375,8.25,152.9,20.6,0.7,7.46,0.36,1.28,0,0
81,7.1,0.69,0.63,438,10.51,202.6,24.1,0.66,7.52,0.32,1.2,0,0
82,7,0.73,0.7,487,11.26,93.16,19.3,0.58,7.62,0.38,1.16,0,0
83,7.3,0.7,0.72,500.4,21,287.1,16.8,0.64,7.68,0.34,1.06,0,1
84,6.9,0.7,0.7,486,27.77,328.89,15.5,0.62,6.3,0.36,0.86,0,1
85,6.8,0.68,0.56,389.2,15.44,167.4,7.34,0.68,7.76,0.34,2.9,0,0
86,6.8,0.68,0.56,389.2,15.44,167.4,7.34,0.68,7.76,0.34,2.9,0,0
87,6.9,0.63,0.52,361.4,21.34,157.4,14.44,0.64,6.18,0.34,3.12,0,0
88,6.9,0.63,0.52,361.4,21.34,157.4,14.44,0.64,6.18,0.34,3.12,0,0
89,6.9,0.49,0.51,354.45,16.76,306.2,28.01,0.72,6.1,0.3,2.74,0,1
90,7.6,0.22,0.76,528.2,104.36,259.29,10.3,1.68,9.84,0.96,3.24,0,1
91,8.4,0.51,0.49,340.55,123.13,297.4,32.7,2.66,8.46,0.96,3.36,0,1
92,8,0.74,1.42,986.9,84.84,369.2,17.6,3.72,10.42,0.72,3.16,0,3
93,7.9,0.16,0.82,569.9,156.16,476.3,28.74,4.68,7.38,0.86,2.12,0,1
94,7.7,0.15,1.05,698.47,119.37,528.69,32.75,3.64,8.32,0.92,3.22,0,1
95,8.1,0.22,0.69,479.55,179.44,363.2,66.3,1.64,8.32,0.32,3.8,0,1
96,7.7,0.95,1.18,820.1,86.34,369.5,26.3,1.62,9.66,0.48,5.42,0,3
97,6.6,0.39,0.64,444.8,41.29,112.25,6.08,1.6,7.62,0.46,4.18,0,0
98,6.4,0.17,0.48,333.6,247.01,469.2,1.29,2.66,7.48,0.42,5.32,0,1
99,6.3,0.43,0.73,507.35,93.85,179.6,8.18,3.64,8.54,0.38,4.4,0,0
100,8.1,0.48,0.49,340.55,172.68,437.2,59.05,2.66,9.12,0.7,3.52,0,1
101,7,0.2,1.96,1362.2,219.98,479.5,65.9,3.7,9.38,0.68,3.66,0,3
102,6.9,0.11,0.76,528.2,115.62,313.17,16.3,2.68,7.74,0.62,4.18,0,1
103,6.8,0.63,0.73,507.35,150.91,250.31,93.9,1.66,7.74,1.08,5.22,0,1
